img_path,img_h,img_w,y,x,h,w,label
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_006135.jpg,300,300,0.41133335,0.782,0.75333333,0.94,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_006482.jpg,300,300,0.73043793,0.31,0.91,0.46600002,b'chair'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2008_006482.jpg,300,300,0.7703406,0.002,0.91,0.402,b'diningtable'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_005054.jpg,300,300,0.4573874,0.172,0.52873874,0.242,b'tvmonitor'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_005054.jpg,300,300,0.47324327,0.636,0.61,0.8539999,b'sofa'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_005054.jpg,300,300,0.52873874,0.002,0.61,0.196,b'sofa'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_005732.jpg,300,300,0.12533332,0.362,0.87333333,1.0,b'cat'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_004044.jpg,300,300,0.40933332,0.44,0.87333333,0.674,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_004044.jpg,300,300,0.49733338,0.204,0.87333333,0.42799997,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_003343.jpg,300,300,0.36733332,0.136,0.5873333,0.528,b'sheep'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2010_003343.jpg,300,300,0.38133335,0.65,0.71933335,1.0,b'sheep'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_002435.jpg,300,300,0.23533332,0.046,0.87333333,1.0,b'sofa'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_002435.jpg,300,300,0.4913333,0.306,0.87333333,1.0,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2011_002435.jpg,300,300,0.29933333,0.004,0.87333333,0.664,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2012_000947.jpg,300,300,0.004,0.3593333,0.9139999,0.8053334,b'person'
/Users/madanram/SoulOfCoder/SSD-Tensorflow/datasets/VOC2012/train/JPEGImages/2012_002188.jpg,300,300,0.48301682,0.434,0.83666664,0.83,b'person'
